study_arm,TrialID,url,Scientific_title,Conditions,Date_enrollment_format,control_arm,randomisation,blinding,subject_blind,caregiver_blind,investigator_blind,outcome_blind,analyst_blind,prospective,Source_registry,phase_clean,region_Africa,region_N_America,region_L_America,region_Asia,region_Europe,region_Oceania,multicentre,primary_purpose,sponsor_type,sample_size,vaccine,conventional,traditional,Bridging_flag,Study_design,Day_inferred,Date_registration_format,Phase,Public_title,Countries,Primary_sponsor,Interventions
main,NCT03824340,https://clinicaltrials.gov/show/NCT03824340,Intracytoplasmic Sperm Injection Preparation in Infertile Women With Unexplained Infertility,Infertility,2019-01-30,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,CT.gov,Unreported,Yes,No,No,No,No,No,NA,Treatment,non_industry,500,NA,NA,NA,FALSE,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: Double (Participant, Care Provider).",FALSE,2019-01-25,N/A,Intracytoplasmic Sperm Injection Preparation in Infertile Women,Egypt,Aljazeera Hospital,Drug: Doxycycline before ICSI
main,NCT04090190,https://clinicaltrials.gov/show/NCT04090190,Inflammation in Women With Urgency Urinary Incontinence Treated With Anticholinergics,Urinary Incontinence;Urgency Urinary,2019-10-30,No,No,No,No,No,No,No,No,Yes,CT.gov,Unreported,No,Yes,No,No,No,No,NA,Treatment,non_industry,20,NA,Yes,NA,FALSE,Intervention model: Single Group Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,2019-08-21,N/A,Inflammation in Women With Urgency Urinary Incontinence Treated With Anticholinergics,United States,Brigham and Women's Hospital,"Drug: Oxybutynin, Solifenacin, Tolterodine, Sanctura or Toviaz"
main,NCT03925818,https://clinicaltrials.gov/show/NCT03925818,"Twice-a-day PPI, Tetracycline, Metronidazolequadruple Therapy With Pylera® or Lactobacillus Reuteri for Treatment naïve or for Retreatment of H. Pylori: Two Randomized Pilot Studies",Helicobacter Pylori Infection,2017-08-29,Yes,Yes,No,No,No,No,No,No,No,CT.gov,Unreported,No,No,No,No,Yes,No,NA,Treatment,non_industry,99,NA,NA,NA,FALSE,Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,2019-04-19,N/A,Low Dose Bismuth Versus Lactobacillus Reuteri for H. Pylori Eradication,Italy,Università degli Studi di Sassari,Drug: Bismuth Subcitrate Potassium;Dietary Supplement: Gastrus
main,NCT03961308,https://clinicaltrials.gov/show/NCT03961308,"A Phase 1, Open-Label, Randomized, Parallel Group Study to Compare the Pharmacokinetics of Single Subcutaneous Injections of Vedolizumab Administered in Prefilled Syringe Versus Prefilled Syringe in Autoinjector in Healthy Subjects",Healthy Volunteers,2018-03-12,Yes,Yes,No,No,No,No,No,No,No,CT.gov,Phase 1,No,Yes,No,No,No,No,NA,Other,industry,204,NA,Yes,NA,FALSE,Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Other. Masking: None (Open Label).,FALSE,2019-05-22,Phase 1,A Study to Compare the Pharmacokinetics (PK) of Single Subcutaneous (SC) Injections of Vedolizumab Administered in Prefilled Syringe (PFS) Versus (vs) Prefilled Syringe in Autoinjector (PFS+AI) in Healthy Participants,United States,Takeda,Drug: Vedolizumab SC
main,NCT03992872,https://clinicaltrials.gov/show/NCT03992872,A Phase 2 Open-label Study to Assess the Safety and Immunogenicity of an Alum-adjuvanted Chikungunya Virus-like Particle Vaccine (PXVX0317) in Prior Recipients of Other Alphavirus Vaccines Versus Alphavirus naïve Controls.,Chikungunya,2019-11-20,No,No,No,No,No,No,No,No,Yes,CT.gov,Phase 2,No,Yes,No,No,No,No,NA,Prevention,NA,60,NA,NA,NA,FALSE,Allocation: Non-Randomized. Intervention model: Single Group Assignment. Primary purpose: Prevention. Masking: None (Open Label).,FALSE,2019-06-18,Phase 2,A Phase 2 Open-label Study to Assess the Safety and Immunogenicity of an Alum-adjuvanted Chikungunya Virus-like Particle Vaccine (PXVX0317) in Prior Recipients of Other Alphavirus Vaccines,United States,Emergent BioSolutions,Biological: Chikungunya
main,NCT03991520,https://clinicaltrials.gov/show/NCT03991520,Pilot Study of the IL-1 Antagonist Anakinra for the Treatment of Endometriosis Related Symptoms,Endometriosis;Anakinra;Markers of Inflammation,2020-04-01,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,CT.gov,Phase 1,No,Yes,No,No,No,No,NA,Treatment,non_industry,20,NA,NA,NA,FALSE,"Allocation: Randomized. Intervention model: Crossover Assignment. Primary purpose: Treatment. Masking: Triple (Participant, Care Provider, Investigator).",TRUE,2019-05-27,Early Phase 1,Pilot Study of the IL-1 Antagonist Anakinra for the Treatment of Endometriosis Related Symptoms,United States,"University of California, San Diego",Drug: Anakinra 100Mg/0.67Ml Inj Syringe;Drug: Placebo
main,NCT03922321,https://clinicaltrials.gov/show/NCT03922321,"A Phase 2a, Multicenter, Open-Label Study of RVT-1401 for the Treatment of Patients With Moderate to Severe Active Graves' Ophthalmopathy",Graves' Ophthalmopathy,2019-04-22,No,No,No,No,No,No,No,No,Yes,CT.gov,Phase 2,No,Yes,No,No,No,No,Yes,Treatment,industry,7,NA,NA,NA,FALSE,Allocation: N/A. Intervention model: Single Group Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,2019-04-17,Phase 2,Study of RVT-1401 for the Treatment of Patients With Moderate to Severe Active Graves' Ophthalmopathy ( GO ),Canada,Immunovant Sciences GmbH,Drug: RVT-1401 (Administered via subcutaneous injection)
main,NCT04100473,https://clinicaltrials.gov/show/NCT04100473,"A Randomized, Open-Label, 6-Period Cross-Over Study to Investigate the Dose Response of Dance 501 (Human Insulin Inhalation Solution and Inhaler) in Subjects With Type 2 Diabetes Mellitus (T2DM)",Type 2 Diabetes Mellitus,2018-04-23,Yes,Yes,No,No,No,No,No,No,No,CT.gov,Phase 2,No,No,No,No,Yes,No,NA,Treatment,industry,24,NA,NA,NA,FALSE,Allocation: Randomized. Intervention model: Crossover Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,2019-02-25,Phase 2,Dose Response of Dance 501 in Subjects With Type 2 Diabetes Mellitus,Germany,Dance Biopharm Inc.,Drug: Inhaled Human Insulin;Drug: Insulin Lispro (Humalog U-100)
main,NCT03943290,https://clinicaltrials.gov/show/NCT03943290,An Open-Label Extension Study to Evaluate the Long-Term Effects of ACE-083 in Patients With Facioscapulohumeral Muscular Dystrophy (FSHD) Previously Enrolled in Study A083-02 and in Patients With Charcot-Marie Tooth (CMT) Disease Types 1 and X Previously Enrolled in Study A083-03,Facioscapulohumeral Muscular Dystrophy;Charcot-Marie-Tooth Disease,2019-05-10,Yes,Yes,No,No,No,No,No,No,Yes,CT.gov,Phase 2,No,Yes,No,No,Yes,No,Yes,Treatment,industry,62,NA,NA,NA,FALSE,Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,2019-04-17,Phase 2,Extension Study to Evaluate the Long-Term Effects of ACE-083 in Patients With Facioscapulohumeral Muscular Dystrophy (FSHD) and Charcot-Marie Tooth (CMT) Disease Types 1 and X (CMT1 and CMTX),United States;Canada;Spain;Canada;Spain;United States,"Acceleron Pharma, Inc.",Drug: ACE-083
main,NCT03926377,https://clinicaltrials.gov/show/NCT03926377,Influence of Dermocorticoids on Bone Mineral Density in Patients With Bullous Pemphigoid,Osteoporosis;Bullous Pemphigoid,2019-04-01,No,No,No,No,No,No,No,No,No,CT.gov,Phase 4,Unreported,Unreported,Unreported,Unreported,Unreported,Unreported,NA,Treatment,non_industry,50,NA,NA,NA,FALSE,Intervention model: Single Group Assignment. Primary purpose: Treatment. Masking: None (Open Label).,TRUE,2019-04-15,Phase 4,Influence of Dermocorticoids on Bone Mineral Density in Patients With Bullous Pemphigoid,NULL,"Centre Hospitalier Universitaire, Amiens",Procedure: bone densitometry;Biological: blood test;Procedure: radiographs of the thoracic and lumbar spine;Procedure: Clobetasol propionate
main,NCT04101721,https://clinicaltrials.gov/show/NCT04101721,"Randomized, Controlled, Multi-Center Study to Assess the Efficacy, Safety, and Tolerability of Intravitreal Aflibercept Compared to Laser Photocoagulation in Patients With Retinopathy of Prematurity",Retinopathy of Prematurity,2019-10-30,Yes,Yes,No,No,No,No,No,No,Yes,CT.gov,Phase 3,No,Yes,Yes,Yes,No,No,Yes,Treatment,industry,112,NA,NA,NA,FALSE,Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,2019-09-23,Phase 3,"Study to Assess the Efficacy, Safety, and Tolerability of Intravitreal Aflibercept Compared to Laser Photocoagulation in Patients With Retinopathy of Prematurity",United States;Colombia;Thailand;Vietnam;Colombia;Thailand;United States;Vietnam,Regeneron Pharmaceuticals,Drug: aflibercept;Procedure: laser photocoagulation
main,NCT04049669,https://clinicaltrials.gov/show/NCT04049669,Phase 2 Trial of Indoximod With Chemotherapy and Radiation for Children With Progressive Brain Tumors or Newly Diagnosed DIPG,Glioblastoma;Medulloblastoma;Ependymoma;Diffuse Intrinsic Pontine Glioma,2019-10-02,Yes,No,No,No,No,No,No,No,Yes,CT.gov,Phase 2,No,Yes,No,No,No,No,NA,Treatment,NA,140,NA,NA,NA,FALSE,Allocation: Non-Randomized. Intervention model: Crossover Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,2019-08-02,Phase 2,Pediatric Trial of Indoximod With Chemotherapy and Radiation for Relapsed Brain Tumors or Newly Diagnosed DIPG,United States,Theodore S. Johnson,Drug: Indoximod;Radiation: Partial Radiation;Radiation: Full-dose Radiation;Drug: Indoximod;Drug: Temozolomide;Drug: Cyclophosphamide;Drug: Etoposide;Drug: Lomustine
main,NCT04145115,https://clinicaltrials.gov/show/NCT04145115,A Phase II Study of Checkpoint Blockade Immunotherapy in Patients With Somatically Hypermutated Recurrent Glioblastoma,Recurrent Glioblastoma;Secondary Glioblastoma,2020-10-30,No,No,No,No,No,No,No,No,Yes,CT.gov,Phase 2,No,Yes,No,No,No,No,NA,Treatment,non_industry,37,NA,Yes,NA,FALSE,Allocation: N/A. Intervention model: Single Group Assignment. Primary purpose: Treatment. Masking: None (Open Label).,FALSE,2019-10-29,Phase 2,A Study Testing the Effect of Immunotherapy (Ipilimumab and Nivolumab) in Patients With Recurrent Glioblastoma With Elevated Mutational Burden,United States,National Cancer Institute (NCI),Biological: Ipilimumab;Biological: Nivolumab
main,NCT03897257,https://clinicaltrials.gov/show/NCT03897257,"A Multicenter, Randomized, Double-Blinded, Parallel Group Comparison Study of the Safety and Efficacy of UHE-103 in Subjects With Moccasin-Type Tinea Pedis",Tinea Pedis,2019-03-15,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,CT.gov,Phase 2,No,Yes,Yes,No,No,No,Yes,Treatment,industry,240,NA,NA,NA,FALSE,"Allocation: Randomized. Intervention model: Parallel Assignment. Primary purpose: Treatment. Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor).",FALSE,2019-03-28,Phase 2,A Comparison Study of UHE-103 Cream in Subjects With Moccasin Type Tinea Pedis,United States;Puerto Rico;United States,"Therapeutics, Inc.",Drug: UHE-103A1 cream;Drug: UHE-103A2 cream;Drug: UHE-103B cream;Drug: UHE-103A1B cream;Drug: UHE-103A2B cream
