TrialID,Date_registration_format,Date_enrollment_format,prospective,manual,study_arm,url,Scientific_title,Conditions,control_arm,randomisation,blinding,subject_blind,caregiver_blind,investigator_blind,outcome_blind,analyst_blind,Source_registry,phase_clean,region_Africa,region_N_America,region_L_America,region_Asia,region_Europe,region_Oceania,multicentre,primary_purpose,sponsor_type,sample_size,vaccine,conventional,traditional,Bridging_flag,Study_design,Day_inferred,Phase,Public_title,Countries,Primary_sponsor,Interventions
EUCTR2016-004133-25-Outside-EU/EEA,15/12/2016,NA,No,Unreported,im,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2016-004133-25,"A Phase 3, Randomized, Multicenter, Observer-Blinded, Noninferiority Study to Evaluate the Immunogenicity and Safety of a Seqirus Quadrivalent Inactivated Influenza Virus Vaccine (Seqirus QIV) with a US-Licensed 2015-2016 Quadrivalent Inactivated Comparator Influenza Vaccine (Comparator QIV) in a Pediatric Population Aged 5 Through 17 Years of Age.",Prophylaxis for influenza virus infection <br>MedDRA version: 19.0Level: PTClassification code 10022000Term: InfluenzaSystem Organ Class: 10021881 - Infections and infestations;Therapeutic area: Diseases [C] - Virus Diseases [C02],Yes,Yes,Yes,NA,NA,NA,NA,NA,EUCTR,Phase 3,No,Yes,No,No,No,No,Yes,NA,industry,2222,Yes,NA,NA,NCT02545543,"Controlled: yesRandomised: yesOpen: noSingle blind: noDouble blind: yesParallel group: yesCross over: noOther: noIf controlled, specify comparator, Other Medicinial Product: yesPlacebo: noOther: noNumber of treatment arms in the trial: 2",FALSE,Human pharmacology (Phase I): noTherapeutic exploratory (Phase II): noTherapeutic confirmatory - (Phase III): yesTherapeutic use (Phase IV): no,A study to evaluate the immunogenicity and safety of Seqirus Quadrivalent Influenza Vaccine (QIV) in a pediatric population aged 5 through to 17 years of age,United States,Seqirus GmbH,<br>Trade Name: Afluria Quadrivalent<br>Product Name: Seqirus Quadrivalent Inactivated Influenza Vaccine (Seqirus QIV)<br>Pharmaceutical Form: Suspension for injection<br>INN or Proposed INN: A/ (H1N1)-LIKE VIRUS ANTIGEN<br>Other descriptive name: A/ (H1N1)-LIKE VIRUS ANTIGEN<br>Concentration unit: µg/ml microgram(s)/millilitre<br>Concentration type: equal<br>Concentration number: 30-<br>INN or Proposed INN: A/ (H3N2)-LIKE VIRUS ANTIGEN<br>Other descriptive name: A/ (H3N2)-LIKE VIRUS ANTIGEN<br>Concentration unit: µg/ml microgram(s)/millilitre<br>Concentration type: equal<br>Concentration number: 30-<br>INN or Proposed INN: B/ YAMAGATA -LIKE VIRUS ANTIGEN<br>Other descriptive name: B/ -LIKE VIRUS ANTIGEN<br>Concentration unit: µg/ml microgram(s)/millilitre<br>Concentration type: equal<br>Concentration number: 30-<br>INN or Proposed INN: B/ VICTORIA -LIKE VIRUS ANTIGEN<br>Other descriptive name: B/ -LIKE VIRUS ANTIGEN<br>Concentration unit: µg/ml microgram(s)/millilitre<br>Concentration type: equal<br>Concentration number: 30-<br><br>Trade Name: Fluarix Quadrivalent<br>Pharmaceutical Form: Suspension for injection<br>INN or Proposed INN: A/ (H1N1)-LIKE VIRUS ANTIGEN<br>Other descriptive name: A/ (H1N1)-LIKE VIRUS ANTIGEN<br>Concentration unit: µg/ml microgram(s)/millilitre<br>Concentration type: equal<br>Concentration number: 30-<br>INN or Proposed INN: A/ (H3N2)-LIKE VIRUS ANTIGEN<br>Other descriptive name: A/ (H3N2)-LIKE VIRUS ANTIGEN<br>Concentration unit: µg/ml microgram(s)/millilitre<br>Concentration type: equal<br>Concentration number: 30-<br>INN or Proposed INN: B/ YAMAGATA -LIKE VIRUS ANTIGEN<br>Other descriptive name: B/ -LIKE VIRUS ANTIGEN<br>Concentration unit: µg/ml microgram(s)/millilitre<br>Concentration type: equal<br>Concentration number: 30-<br>INN or Proposed INN: B/ YAMAGATA -LIKE VIRUS ANTIGEN<br>Other descriptive name: B/ -LIKE VIRUS ANTIGEN<br>Concentration unit: µg/ml microgram(s)/millilitre<br>Concentration type: equal<br>Concentration number: 30-<br><br>
EUCTR2018-002303-33-ES,21/05/2019,24/04/2019,No,Yes,main,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2018-002303-33,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Efficacy and Safety of Padsevonil as Adjunctive Treatment of Focal-Onset Seizures in Adult Subjects With Drug-Resistant Epilepsy",Focal-Onset Seizures <br>MedDRA version: 20.0Level: LLTClassification code 10065337Term: Focal epilepsySystem Organ Class: 100000004852;Therapeutic area: Diseases [C] - Nervous System Diseases [C10],Yes,Yes,Yes,NA,NA,NA,NA,NA,EUCTR,Phase 3,No,Yes,Yes,Yes,Yes,No,Yes,Treatment,industry,555,NA,NA,NA,NCT03739840,"Controlled: yesRandomised: yesOpen: noSingle blind: noDouble blind: yesParallel group: yesCross over: noOther: noIf controlled, specify comparator, Other Medicinial Product: noPlacebo: yesOther: noNumber of treatment arms in the trial: 4",FALSE,Human pharmacology (Phase I): noTherapeutic exploratory (Phase II): noTherapeutic confirmatory - (Phase III): yesTherapeutic use (Phase IV): no,A study to test the efficacy and safety of padsevonil as treatment of focal-onset seizures in adult subjects with drug-resistant epilepsy,Serbia;United States;Portugal;Estonia;Slovakia;Greece;Spain;Italy;Switzerland;France;Denmark;Netherlands;Bosnia and Herzegovina;Finland;Turkey;Austria;United Kingdom;Hungary;Czech Republic;Mexico;Belgium;Poland;Croatia;Bulgaria;Germany;Sweden,UCB Biopharma SPRL,<br>Product Name: Padsevonil<br>Product Code: UCB0942<br>Pharmaceutical Form: Film-coated tablet<br>INN or Proposed INN: Padsevonil<br>CAS Number: 1294000-61-5<br>Current Sponsor code: UCB0942<br>Other descriptive name: UCB0942<br>Concentration unit: mg milligram(s)<br>Concentration type: equal<br>Concentration number: 25-<br>Pharmaceutical form of the placebo: Film-coated tablet<br>Route of administration of the placebo: Oral use<br><br>Product Name: Padsevonil<br>Product Code: UCB0942<br>Pharmaceutical Form: Film-coated tablet<br>INN or Proposed INN: Padsevonil<br>CAS Number: 1294000-61-5<br>Current Sponsor code: UCB0942<br>Other descriptive name: UCB0942<br>Concentration unit: mg milligram(s)<br>Concentration type: equal<br>Concentration number: 100-<br>Pharmaceutical form of the placebo: Film-coated tablet<br>Route of administration of the placebo: Oral use<br><br>Product Name: Padsevonil<br>Product Code: UCB0942<br>Pharmaceutical Form: Film-coated tablet<br>INN or Proposed INN: Padsevonil<br>CAS Number: 1294000-61-5<br>Current Sponsor code: UCB0942<br>Other descriptive name: UCB0942<br>Concentration unit: mg milligram(s)<br>Concentration type: equal<br>Concentration number: 200-<br>Pharmaceutical form of the placebo: Film-coated tablet<br>Route of administration of the placebo: Oral use<br><br>
EUCTR2018-002876-41-FR,08/08/2018,NA,No,Yes,im,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2018-002876-41,Assesment of Propofol sedation during intra tracheal surfactant administration by the LISA method (Less Invasive Surfactant Administration) - PROLISA,"Respiratory Distress Syndrome of preterm babies born < 32 weeks of gestational age;Therapeutic area: Analytical, Diagnostic and Therapeutic Techniques and Equipment [E] - Anesthesia and Analgesia [E03]",Yes,Yes,Yes,NA,NA,NA,NA,NA,EUCTR,Phase 3,No,No,No,No,Yes,No,NA,NA,NA,542,NA,NA,NA,FALSE,"<br>                Controlled: yes<br>                Randomised: yes<br>                Open: no<br>                Single blind: no<br>                Double blind: yes<br>                Parallel group: yes<br>                Cross over: no<br>                Other: no<br>                If controlled, specify comparator, Other Medicinial Product: no<br>                Placebo: yes<br>                Other: no<br>                Number of treatment arms in the trial: 2<br>",FALSE,Human pharmacology (Phase I): no                Therapeutic exploratory (Phase II): no                Therapeutic confirmatory - (Phase III): yes                Therapeutic use (Phase IV): no,Assesment of Propofol sedation during intra tracheal surfactant administration by the LISA method (Less Invasive Surfactant Administration),France,CHU Grenoble-Alpes,<br>                Trade Name: PROPOFOL LIPURO 1%<br>                Product Name: PROPOFOL<br>                Pharmaceutical Form: Emulsion for injection/infusion<br>                Pharmaceutical form of the placebo: Emulsion for injection<br>                Route of administration of the placebo: Intravenous use<br><br>
EUCTR2019-001085-15-BE,22/08/2019,06/11/2019,Yes,No,main,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2019-001085-15,"Randomized, placebo-controlled, double-blind study to evaluate the efficacy of 2LHERP® in patients with recurrent orofacial herpes infections. - HEARTH-OF Study.",Patients presenting recurrent orofacial herpes infections (6 or more episodes within the 12-months’ period prior to their study entry). <br>                MedDRA version: 20.0                Level: HLT                Classification code 10019972                Term: Herpes viral infections                System Organ Class: 10021881 - Infections and infestations             <br>                MedDRA version: 20.1                Level: PT                Classification code 10067152                Term: Oral herpes                System Organ Class: 10021881 - Infections and infestations             <br>                MedDRA version: 21.1                Level: PT                Classification code 10019948                Term: Herpes simplex                System Organ Class: 10021881 - Infections and infestations            ;Therapeutic area: Diseases [C] - Virus Diseases [C02],Yes,Yes,Yes,NA,NA,NA,NA,NA,EUCTR,Phase 4,No,No,No,No,Yes,No,NA,NA,NA,100,NA,NA,NA,FALSE,"Controlled: yes                Randomised: yes                Open: no                Single blind: no                Double blind: yes                Parallel group: yes                Cross over: no                Other: no                If controlled, specify comparator, Other Medicinial Product: no                Placebo: yes                Other: no                Number of treatment arms in the trial: 2",FALSE,Human pharmacology (Phase I): no                Therapeutic exploratory (Phase II): no                Therapeutic confirmatory - (Phase III): no                Therapeutic use (Phase IV): yes,"Randomized, placebo-controlled, double-blind study to evaluate the efficacy of 2LHERP® in patients with recurrent orofacial herpes infections.",Belgium,LABO’LIFE Belgium sprl,<br>                Trade Name: 2LHERP®<br>                Product Name: 2LHERP®<br>                Pharmaceutical Form: Pillules<br>                Pharmaceutical form of the placebo: Pillules<br>                Route of administration of the placebo: Oromucosal use<br><br>
EUCTR2019-001155-39-GB,16/07/2019,22/11/2019,Yes,No,main,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2019-001155-39,"A PHASE 1/2, OPEN-LABEL, DOSE-ESCALATION AND EXPANSION STUDY OF ENTRECTINIB (RXDX-101) IN PEDIATRICS WITH LOCALLY ADVANCED OR METASTATIC SOLID OR PRIMARY CNS TUMORS AND/OR WHO HAVE NO SATISFACTORY TREATMENT OPTIONS",Solid tumors and primary central nervous system (CNS) tumors <br>MedDRA version: 21.1Level: LLTClassification code 10065147Term: Malignant solid tumorSystem Organ Class: 100000004864 <br>MedDRA version: 21.1Level: LLTClassification code 10065252Term: Solid tumorSystem Organ Class: 100000004864;Therapeutic area: Diseases [C] - Cancer [C04],No,Not applicable,No,No,No,No,No,No,EUCTR,Phase 2,No,Yes,No,No,Yes,No,Yes,Treatment,industry,68,NA,NA,NA,EUCTR2019-001155-39-FR,"Controlled: no<br>Randomised: no<br>Open: yes<br>Single blind: no<br>Double blind: no<br>Parallel group: no<br>Cross over: no<br>Other: no<br>If controlled, specify comparator, Other Medicinial Product: no<br>Placebo: no<br>Other: no<br>",FALSE,Human pharmacology (Phase I): noTherapeutic exploratory (Phase II): yesTherapeutic confirmatory - (Phase III): noTherapeutic use (Phase IV): no,A Study of Entrectinib (RXDX-101) in Pediatrics with Locally Advanced or Metastatic Solid or Primary CNS Tumors and/or Who Have No Satisfactory Treatment Options,United States;France;Spain;Germany;Italy;United Kingdom,F. Hoffmann-La Roche Ltd,"<br>Product Name: Entrectinib<br>Product Code: RO7102122/F03<br>Pharmaceutical Form: Capsule, hard<br>INN or Proposed INN: ENTRECTINIB<br>CAS Number: 1108743-60-7<br>Current Sponsor code: RO7102122<br>Concentration unit: mg milligram(s)<br>Concentration type: equal<br>Concentration number: 100-<br><br>Product Name: Entrectinib<br>Product Code: RO7102122/F01<br>Pharmaceutical Form: Capsule, hard<br>INN or Proposed INN: ENTRECTINIB<br>CAS Number: 1108743-60-7<br>Current Sponsor code: RO7102122<br>Concentration unit: mg milligram(s)<br>Concentration type: equal<br>Concentration number: 200-<br><br>Product Name: Entrectinib<br>Product Code: RO7102122/F08<br>Pharmaceutical Form: Capsule, hard<br>INN or Proposed INN: ENTRECTINIB<br>CAS Number: 1108743-60-7<br>Current Sponsor code: RO7102122<br>Concentration unit: mg milligram(s)<br>Concentration type: equal<br>Concentration number: 100-<br><br>Product Name: Entrectinib<br>Product Code: RO7102122/F09<br>Pharmaceutical Form: Capsule, hard<br>INN or Proposed INN: ENTRECTINIB<br>CAS Number: 1108743-60-7<br>Current Sponsor code: RO7102122<br>Concentration unit: mg milligram(s)<br>Concentration type: equal<br>Concentration number: 100-<br><br>Product Name: Entrectinib<br>Product Code: RO7102122/F11<br>Pharmaceutical Form: Capsule, hard<br>INN or Proposed INN: ENTRECTINIB<br>CAS Number: 1108743-60-7<br>Current Sponsor code: RO7102122<br>Concentration unit: mg milligram(s)<br>Concentration type: equal<br>Concentration number: 100-<br><br>Product Name: Entrectinib<br>Product Code: RO7102122/F04<br>Pharmaceutical Form: Capsule, hard<br>INN or Proposed INN: ENTRECTINIB<br>CAS Number: 1108743-60-7<br>Current Sponsor code: RO7102122<br>Concentration unit: mg milligram(s)<br>Concentration type: equal<br>Concentration number: 200-<br><br>Product Name: Entrectinib<br>Product Code: RO7102122/F06<br>Pharmaceutical Form: Capsule, hard<br>INN or Proposed INN: ENTRECTINIB<br>CAS Number: 1108743-60-7<br>Current Sponsor code: RO7102122<br>Concen"
EUCTR2019-004010-34-PL,05/11/2019,18/05/2020,Yes,No,main,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2019-004010-34,"Assessment of tolerance and spread of the whole body at myeloablative doses in association with cladribine before allogeneic hematopoietic cell transplantation in patients with acute myeloid leukemia - a pilot, single-phase, II phase study - ClaTBI/2019","Accute myeloid leukemia <br>MedDRA version: 21.0Level: LLTClassification code 10028557Term: Myeloid leukemia, acuteSystem Organ Class: 100000004864;Therapeutic area: Diseases [C] - Blood and lymphatic diseases [C15]",No,Not applicable,No,No,No,No,No,No,EUCTR,Phase 2,No,No,No,No,Yes,No,NA,NA,NA,16,NA,NA,NA,FALSE,"Controlled: no<br>Randomised: no<br>Open: yes<br>Single blind: no<br>Double blind: no<br>Parallel group: no<br>Cross over: no<br>Other: no<br>If controlled, specify comparator, Other Medicinial Product: no<br>Placebo: no<br>Other: no<br>",FALSE,Human pharmacology (Phase I): noTherapeutic exploratory (Phase II): yesTherapeutic confirmatory - (Phase III): noTherapeutic use (Phase IV): no,"Assessment of tolerance and spread of the whole body at myeloablative doses in association with cladribine before allogeneic hematopoietic cell transplantation in patients with acute myeloid leukemia - a pilot, single-phase, II phase study",Poland,"Narodowy Instytut Onkologii im. M. Sklodowskiej-Curie – Panstwowy Instytut Badawczy, Oddzial w Gliwicach",<br>Product Name: Cladribine<br>Pharmaceutical Form: Infusion<br><br>
EUCTR2020-001635-27-FR,06/04/2020,04/05/2020,Yes,No,covid,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001635-27,"A Phase 2, Randomized, Open-label Clinical Trial comparing the Safety and Efficacy of Hydroxychloroquine, and Standard of Care to a Combination of Masitinib, Isoquercetin, and Standard of Care for the Treatment of Hospitalized Moderate and Severe COVID-19 Patients.","Hospitalized Moderate and Severe COVID-19 Patients <br>MedDRA version: 20.0
Level: SOC
Classification code 10021881
Term: Infections and infestations
System Organ Class: 10021881 - Infections and infestations
;Therapeutic area: Diseases [C] - Virus Diseases [C02]",Yes,Yes,No,No,No,No,No,No,EUCTR,Phase 2,No,No,No,No,Yes,No,NA,Treatment,NA,NA,NA,Yes,NA,FALSE,"Controlled: yes
Randomised: yes
Open: yes
Single blind: no
Double blind: no
Parallel group: no
Cross over: no
Other: no
If controlled, specify comparator, Other Medicinial Product: yes
Placebo: no
Other: no
Number of treatment arms in the trial: 2
",FALSE,"Human pharmacology (Phase I): no
Therapeutic exploratory (Phase II): yes
Therapeutic confirmatory - (Phase III): no
Therapeutic use (Phase IV): no
",Evaluation of a combination of Masitinib and Isoquercetin in the Treatment of Hospitalized COVID-19 Patients.,France,AB Science,"<br>Product Name: Masitinib<br>Product Code: AB1010<br>Pharmaceutical Form: Film-coated tablet<br>INN or Proposed INN: Masitinib mesilate<br>CAS Number: 790299-79-5<br>Current Sponsor code: AB1010<br>Concentration unit: mg milligram(s)<br>Concentration type: equal<br>Concentration number: 100-<br><br>Product Name: Masitinib<br>Product Code: AB1010<br>Pharmaceutical Form: Film-coated tablet<br>INN or Proposed INN: Masitinib mesilate<br>CAS Number: 790299-79-5<br>Current Sponsor code: AB1010<br>Concentration unit: mg milligram(s)<br>Concentration type: equal<br>Concentration number: 200-<br><br>Product Name: Isoquercetin <br>Product Code: IQC950AN <br>Pharmaceutical Form: Capsule, soft<br><br>Trade Name: Plaquenil 200 mg<br>Pharmaceutical Form: Coated tablet<br>CAS Number: 747-36-4<br>Current Sponsor code: SAR321068<br>Other descriptive name: HYDROXYCHLOROQUINE SULFATE<br>Concentration unit: mg milligram(s)<br>Concentration type: equal<br>Concentration number: 200-<br><br>"
EUCTR2020-002225-29-FR,30/04/2020,12/11/2020,Yes,No,covid,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002225-29,Evaluation of the effects of bradykinin antagonists on pulmonary manifestations of COVID-19 infections.,"COVID positive patients with respiratory impairment <br>MedDRA version: 23.1
Level: LLT
Classification code 10084437
Term: COVID-19 PCR test positive
System Organ Class: 100000004848
 <br>MedDRA version: 23.1
Level: PT
Classification code 10084460
Term: COVID-19 treatment
System Organ Class: 10042613 - Surgical and medical procedures
;Therapeutic area: Diseases [C] - Virus Diseases [C02]",Yes,Yes,Yes,NA,NA,NA,NA,NA,EUCTR,Phase 2,No,No,No,No,Yes,No,NA,NA,NA,45,NA,NA,NA,FALSE,"Controlled: yes
Randomised: yes
Open: no
Single blind: no
Double blind: yes
Parallel group: no
Cross over: no
Other: no
If controlled, specify comparator, Other Medicinial Product: yes
Placebo: yes
Other: no
Number of treatment arms in the trial: 3
",FALSE,"Human pharmacology (Phase I): no
Therapeutic exploratory (Phase II): yes
Therapeutic confirmatory - (Phase III): no
Therapeutic use (Phase IV): no
",Evaluation of the effects of bradykinin antagonists on pulmonary manifestations of COVID-19 infections.,France,Groupement de Coopération Sanitaire Ramsay Générale de Santé pour l’Enseignement et la Recherche,"<br>Trade Name: BERINERT<br>Pharmaceutical Form: Concentrate and solvent for solution for injection/infusion<br>INN or Proposed INN: C1-esterase inhibitor, human<br>Other descriptive name: C1 ESTERASE INHIBITOR (HUMAN)<br>Concentration unit: U unit(s)<br>Concentration type: equal<br>Concentration number: 2000-<br>Pharmaceutical form of the placebo: Solution for injection/infusion<br>Route of administration of the placebo: Intravenous use<br><br>Trade Name: FIRAZYR<br>Pharmaceutical Form: Solution for injection in pre-filled syringe<br>INN or Proposed INN: ICATIBANT<br>CAS Number: 138614-30-9<br>Other descriptive name: ICATIBANT ACETATE<br>Concentration unit: mg milligram(s)<br>Concentration type: equal<br>Concentration number: 30-<br>Pharmaceutical form of the placebo: Solution for injection in pre-filled syringe<br>Route of administration of the placebo: Subcutaneous use<br><br>"
EUCTR2020-002668-29-GB,10/06/2020,25/06/2020,Yes,No,covid,https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-002668-29,"A Randomised Controlled Trial of plasma exchange with standard of care compared to standard of care alone in the treatment of severe COVID-19 infection (COVIPLEX)

 - PEX in severe COVID-19","COVID-19;Therapeutic area: Analytical, Diagnostic and Therapeutic Techniques and Equipment [E] - Therapeutic techniques [E02]",Yes,Yes,No,No,No,No,No,No,EUCTR,Phase 2,No,No,No,No,Yes,No,NA,Treatment,non_industry,40,NA,NA,NA,FALSE,"Controlled: yes<br>Randomised: yes<br>Open: yes<br>Single blind: no<br>Double blind: no<br>Parallel group: yes<br>Cross over: no<br>Other: no<br>If controlled, specify comparator, Other Medicinial Product: no<br>Placebo: no<br>Other: yes<br>Other specify the comparator: standard of care<br>Number of treatment arms in the trial: 2<br>",FALSE,"Human pharmacology (Phase I): no
Therapeutic exploratory (Phase II): yes
Therapeutic confirmatory - (Phase III): no
Therapeutic use (Phase IV): no
",plasma exchange in severe COVID-19 infection,United Kingdom,University College London,<br>Trade Name: OctaplasLG<br>Product Name: OctaplasLG<br>Pharmaceutical Form: Solution for infusion<br><br>
IRCT2016052828134N1,21/06/2016,30/01/2016,No,Yes,im,http://en.irct.ir/trial/22888,Effects of Botanical mouthwash of Aloe Vera  on ventilator associated pneumonia of patients having Endotracheal tube hospitalized in the Intensive Care Unit,Condition 1: Pneumonia. Condition 2: dental plaque. Condition 3: dental plaque. <br>Influenza and pneumonia <br>Deposits [accretions] on teeth <br>Caries of dentine;Influenza and pneumonia;Deposits [accretions] on teeth;Caries of dentine,Yes,Yes,Yes,NA,NA,NA,NA,NA,IRCT,Phase 2,No,No,No,Yes,No,No,NA,Prevention,non_industry,79,NA,NA,NA,FALSE,"Randomization: Randomized, Blinding: Double blinded, Placebo: Not used, Assignment: Parallel, Purpose: Prevention.",FALSE,2,Effects of Botanical mouthwash of Aloe Vera  on ventilator associated pneumonia of patients having Endotracheal tube hospitalized in the Intensive Care Unit,Iran (Islamic Republic of),Research Deputy of Shahid Beheshti university of medical sciences,"Intervention 1: intervention group: Using 15 ml of Aloe Vera mouthwash, every 12 hours, for 4 days. Intervention 2: Control group: Using 15 ml of normal saline, every 12 hours, for 4 days.;Treatment - Drugs;Treatment - Drugs;intervention group: Using 15 ml of Aloe Vera mouthwash, every 12 hours, for 4 days.;Control group: Using 15 ml of normal saline, every 12 hours, for 4 days."
