TrialID,url,Scientific_title,Conditions,study_arm,start_date,control_arm,randomisation,blinding,prospective,source_registry,phase_clean,region_Africa,region_N_America,region_L_America,region_Asia,region_Europe,region_Oceania,multicentre,primary_purpose,sponsor_type,sample_size,vaccine,conventional,traditional,subject_blind,caregiver_blind,investigator_blind,outcome_blind,analyst_blind,Study_design,Bridging_flag,Day_inferred,Date_registration_format,Phase,Public_title,Countries,Primary_sponsor,Interventions
ACTRN12616000046404,https://anzctr.org.au/ACTRN12616000046404.aspx,"A multi-centre double-blind randomised controlled trial to determine if a longer duration of amoxicillin-clavulanic acid (compared to shorter duration) improves the short and long term clinical outcomes of children hospitalised with community-acquired pneumonia, in Indigenous children and a developing country",Pneumonia in children; <br>Pneumonia in children;Respiratory - Other respiratory disorders / diseases;Infection - Studies of infection and infectious agents;Public Health - Other public health,im,2016-05-30T00:00:00Z,Yes,Yes,Yes,Yes,ANZCTR,Phase 4,No,No,No,Yes,No,Yes,Yes,Treatment,Non industry,314,No,Yes,No,NA,NA,NA,NA,NA,Purpose: Treatment; Allocation: Randomised controlled trial; Masking: Blinded (masking used);Assignment: Parallel;Type of endpoint: Safety/efficacy;,FALSE,FALSE,2016-01-19T00:00:00Z,Phase 4,An intervention study to determine if a longer duration of antibiotics (compared to shorter duration) improves the short and long term clinical outcomes of children hospitalised for pneumonia,Australia;Malaysia;Malaysia;Malaysia;New Zealand;Malaysia,Menzies School of Health Research,"All participants will have received 24-72 hours of intravenous site specific antibiotics,  followed by 3 days of oral amoxicillin-clavunate acid, prescribed by site hospitals. Participants will then receive active or placebo treatment for an additional 8 days as below.<br><br>Active arm: 8 days of oral amoxcillin-clavulanate 400/57 duo formulation (70-90mg/kg/day, twice daily dosing; max 980mg per day)<br><br>Placebo arm: 8 days of oral placebo (equivalent volume as the active arm)<br><br>Treatment dose (range) is determined by local site hospital treatment protocols. Parents will keep a medication diary and/or receive phone calls to monitor adherence to intervention medication. Where possible, we will also collect empty medication bottles at the 4 week clinical review.<br>"
ACTRN12616001475437,https://anzctr.org.au/ACTRN12616001475437.aspx,"An Healthy Volunteer, Open-Label, Cross-Over Phase I Study to Determine the Safety, Tolerability and Pharmacokinetics of a Single Oral Dose of AWP-09VDB-S under Fed and Fasted Conditions",the treatment and prophylaxis of influenza; <br>the treatment and prophylaxis of influenza;Infection - Other infectious diseases,im,2016-10-18T00:00:00Z,Yes,Yes,No,No,ANZCTR,Phase 1,No,No,No,No,No,Yes,No,Treatment,Industry,14,No,Yes,No,No,No,No,No,No,Purpose: Treatment; Allocation: Randomised controlled trial; Masking: Open (masking not used);Assignment: Crossover;Type of endpoint: Safety;,FALSE,FALSE,2016-10-24T00:00:00Z,Phase 1,Ala Wai Phase 1 safety and tolerability study with 14 healthy participants,Australia,Clinical Network Services Pty Ltd,"New formulation of zanamivir, AWP-09VDB-S, to be administered in a gastric resistant capsule.<br>Participants will receive two doses in total.  Each dose is 2 x capsules of 150mg (300mg total) in feed and fasted state.  4-13 days washout between period 1 and 2<br>Compliance check of the mouth and hand at administration.<br><br>FED Cohort: Participants in the fed period will be dosed following a high‚Äìfat, high-calorie breakfast. These participants will be required to fast overnight for at least 10 hours until 30 minutes prior to their scheduled dosing times, when they will be given a standard high-fat, high calorie breakfast which will be entirely consumed within 30 minutes. The breakfast will consist of two eggs fried in butter, two strips of bacon, two slices of toast with butter, four ounces of hash brown potatoes (1 serving or approximately 114 gm) and 240 mL of whole milk. Participants will fast for at least 4 hours following dosing.  IP will be administered with 240 mil of water.  No food is allowed for at least 4 hours post-dose. Water can be consumed as desired except for one hour after drug administration.<br>FASTED Cohort Participants : Following an overnight fast of at least 10 hours, participants will be administered IP with 240 mL of water. No food is allowed for at least 4 hours post-dose. Water can be consumed as desired except for one hour before and after drug administration."
ACTRN12617000322336,https://anzctr.org.au/ACTRN12617000322336.aspx,Multicentre Randomised Controlled Trial of Surfactant Plus Budesonide to Improve Survival Free of Bronchopulmonary Dysplasia in Extremely Preterm Infants,Bronchopulmonary dysplasia;Extremely preterm birth;Respiratory distress syndrome; <br>Bronchopulmonary dysplasia <br>Extremely preterm birth <br>Respiratory distress syndrome;Reproductive Health and Childbirth - Complications of newborn;Respiratory - Other respiratory disorders / diseases,im,2018-01-04T00:00:00Z,Yes,Yes,Yes,Yes,ANZCTR,Phase 3,No,Yes,No,Yes,No,Yes,Yes,Treatment,Non industry,1060,No,Yes,No,NA,NA,NA,NA,NA,Purpose: Treatment; Allocation: Randomised controlled trial; Masking: Blinded (masking used);Assignment: Parallel;Type of endpoint: Safety/efficacy;,FALSE,FALSE,2017-02-28T00:00:00Z,Phase 3,Preventing Chronic Lung Disease in Extremely Preterm Infants Using Surfactant + Steroid,Australia;New Zealand;Canada;Singapore,The Melbourne Children's Trial Centre,"Infants randomised to the intervention will receive budesonide 0.25 mg/kg (0.5 mL/kg). Exogenous surfactant (Curosurf [trademark], Chiesi Farmaceutici, Parma, Italy) will be used as a carrying vehicle for the budesonide. The dose of surfactant will be 200 mg/kg for the initial dose, and 100 mg/kg for subsequent doses (if required). Each enrolled infant will receive at least one, and no more than two, interventions. The intervention will be administered intra-tracheally via an endotracheal tube or catheter, by a medical officer or appropriately credentialed neonatal nurse."
ACTRN12617000626369,https://anzctr.org.au/ACTRN12617000626369.aspx,Description of lactate kinetics in ICU patients using a bolus injection of 13C-labeled lactate - an experimental open-label non-randomized clinical trial,Mixed Intensive Care Unit patients with single or multiple organ failure; <br>Mixed Intensive Care Unit patients with single or multiple organ failure;Metabolic and Endocrine - Other metabolic disorders,im,2017-05-22T00:00:00Z,No,Not applicable,No,Yes,ANZCTR,Undefined,No,No,No,No,Yes,No,No,Other,Non industry,20,No,Yes,No,No,No,No,No,No,Purpose: Diagnosis; Allocation: Non-randomised trial; Masking: Open (masking not used);Assignment: Single group;Type of endpoint: Pharmacokinetics;,FALSE,FALSE,2017-05-01T00:00:00Z,Not Applicable,Production and utilization of lactate in an intensive care patient population,Sweden,Karolinska University Hospital,"Each ICU patient will receive a single bolus dose of 13C-labeled lactate (2.7mg/kg body weight). Existing arterial and venous lines will be used. Blood samples will be drawn at t=0 and then every two minutes during the first hour and every fifth minute for the second hour (t=2,4,6...56,58,60,65,70...110,115,120)"
ACTRN12617001086358,http://www.anzctr.org.au/ACTRN12617001086358.aspx,A prospective pilot study investigating the impact of obesity on seroprotection after influenza vaccination in children aged 11-17 years.,Obesity in children and adolescents;Response to influenza vaccination,im,2018-04-02T00:00:00Z,No,Not applicable,No,Yes,ANZCTR,Phase 4,No,No,No,No,No,Yes,No,Prevention,Non industry,50,Yes,No,No,NA,NA,NA,NA,NA,NULL,FALSE,FALSE,2017-07-26T00:00:00Z,Phase 4,A study on the influence of obesity on the protection after influenza vaccination in children aged 11-17 years.,Australia,Women's and Children's Hospital,"This is a pilot case control study to study the effect, if any, of obesity, on the immune response to the annual licensed quadrivalent influenza vaccination in Australian children aged 11-17 years.<br>Cases -  25 obese children (BMI >=95th percentile for age and gender) aged 11-17 years.<br>Controls - 25 non-obese children (BMI 5th - <95th percentile for age and gender) aged 11-17 years.<br>The dose of the influenza vaccine is 0.5 ml administered as a single dose IM injection. All vaccines will be administered by a qualified and experienced practitioners (medical officer or registered nurse) within the unit, according to current vaccination guidelines. <br>All participants will have bloods samples collected by the recruiting medical officer before vaccination and at the follow-up visits at 1 and 6 months after vaccination."
ACTRN12617001365358,https://anzctr.org.au/ACTRN12617001365358.aspx,"A randomized clinical trial comparing preoperative continuation versus cessation of angiotensin converting enzyme inhibitors and angiotensin receptor blockers in patients undergoing elective, noncardiac surgery at a major tertiary hospital.",noncardiac surgery;perioperative cardiovascular events;cardiovascular mortality;cardiac arrest;decompensated cardiac failure;myocardial infarction;myocardial injury after noncardiac surgery;acute kidney injury;cerebrovascular event; <br>noncardiac surgery <br>perioperative cardiovascular events <br>cardiovascular mortality <br>cardiac arrest<br> <br>decompensated cardiac failure<br> <br>myocardial infarction <br>myocardial injury after noncardiac surgery <br>acute kidney injury <br>cerebrovascular event;Anaesthesiology - Other anaesthesiology;Cardiovascular - Other cardiovascular diseases;Surgery - Other surgery,im,2017-12-05T00:00:00Z,Yes,Yes,Yes,Yes,ANZCTR,Undefined,No,No,No,No,No,Yes,No,Treatment,Non industry,666,No,Yes,No,NA,NA,NA,NA,NA,Purpose: Treatment; Allocation: Randomised controlled trial; Masking: Blinded (masking used);Assignment: Parallel;Type of endpoint: Safety/efficacy;,FALSE,FALSE,2017-09-27T00:00:00Z,Not Applicable,"A randomized clinical trial comparing preoperative continuation versus cessation of angiotensin converting enzyme inhibitors and angiotensin receptor blockers in patients undergoing elective, noncardiac surgery at a major tertiary hospital.",Australia,Metro South Health - Princess Alexandra Hospital,Withholding angiotensin converting enzyme II inhibitors (ACEi) and angiotensin receptor blockers (ARBs) medication at least twenty-four hours prior to noncardiac surgery. The commencement of ACEi and ARB after surgery will be independent of the clinical trial and at the discretion of the treating clinician.
ACTRN12617001392358,http://www.anzctr.org.au/ACTRN12617001392358.aspx,A double-blinded pilot randomized control trial comparing the effect of intravenous vitamin C versus placebo on vasopressor requirements in a cohort of vasopressor dependent patients suffering from a systemic inflammatory response syndrome.,Distributive shock;Systemic inflammatory response syndrome;Septic Shock,im,2018-07-27T00:00:00Z,Yes,Yes,Yes,Yes,ANZCTR,Phase 2,No,No,No,No,No,Yes,Yes,Treatment,Non industry,70,No,No,Yes,NA,NA,NA,NA,NA,NULL,FALSE,FALSE,2017-09-29T00:00:00Z,Phase 2,Vasopressor dependent shock: Intravenous vitamin C versus placebo on vasopressor use. The VALENCIA study,Australia,Sir Charles Gairdner Hospital,1.5 g intravenous Sodium Ascorbate every 6 hours for 5 days.  A review of medication charts by study investigators and sampling of Vitamin C levels levels in 5 randomly selected patients in each arm on day 3 of the study will occur to verify group separation and adherence to protocol.
ACTRN12618000112268,https://anzctr.org.au/ACTRN12618000112268.aspx,First-in-human study to investigate the skin tolerability of micro-projection array patches coated with inactivated split influenza virus haemagglutinin (HA) from A/Singapore/GP1908/2015 (A/Michigan/45/2015(H1N1)-like) vaccine in healthy volunteers,prevention of influenza infection; <br>prevention of influenza infection;Infection - Other infectious diseases;Public Health - Other public health,im,2018-03-09T00:00:00Z,Yes,Yes,Yes,Yes,ANZCTR,Phase 1,No,No,No,No,No,Yes,No,Prevention,Industry,210,Yes,No,No,NA,NA,NA,NA,NA,Purpose: Prevention; Allocation: Randomised controlled trial; Masking: Blinded (masking used);Assignment: Parallel;,FALSE,FALSE,2018-01-25T00:00:00Z,Phase 1,"Two-part, randomised, double-blind, placebo-controlled study in healthy participants to investigate the skin tolerability of micro-projection array patches coated with inactivated split influenza virus haemagglutinin (HA) from A/Singapore/GP1908/2015 (A/Michigan/45/2015(H1N1)-like) vaccine.",Australia,Vaxxas Pty Ltd,"The study is in 2 parts,with 4 parallel treatment groups in Part A and 9 parallel treatment groups in Part B. In both study parts the interventional exposure group being studied is the Micro array projections (MAPs) coated with A/Singapore/GP1908/2015 antigen (A/Sing) in various doses. The comparator products are listed in the section below.   <br><br>The A/Sing MAP comes in 2 doses; 5mcg Haemagglutinin protein (HA) or 2.5 mcg HA. They are single use. For each subject, a MAP is applied for 2 mins then removed then the next patch is applied for 2 mins then removed etc.<br>The MAP is applied by a trained medical professional.  <br><br>Study Part A: <br>Group 1 subjects will receive 3 x 5mcg A/Sing coated MAPs to the forearm,  total dose 15mcg HA.<br>Groups 2, 3 and 4 will receive comparator products (described in section below)<br><br>Study Part B: <br>Group 1 subjects receive 3 x 5mcg A/Sing coated MAPs to the forearm, total dose 15mcg HA<br>Group 2 subjects receive 3 x 5mcg A/Sing coated MAPs to the forearm, total dose 15mcg HA and they will undergo additional testing of punch biopsy of application site.  <br>Group 3 subjects receive 2 x 5mcg A/Sing coated MAPs to the forearm plus 1 uncoated (placebo MAP, total dose 10mcg HA<br>Group 4 subjects  receive 1 x 5mcg A/Sing coated MAP to the forearm plus 2 uncoated (placebo MAPs, total dose 5mcg HA<br>Group 5 subjects receive 1 x 2.5mcg A/Sing coated MAP (2.5mcg HA) plus 2 uncoated (placebo) MAPs to the forearm, total dose 2.5 mcg HA<br>Group 8 subjects receive 3 x 5mcg A/Sing coated MAPs to the deltoid muscle, total dose 15 mcg HA<br><br>The MAP delivery device is a hand-held mechanical, spring loaded, disposable applicator (Vaxxas Clinical Applicator, disposable, CAP) calibrated at a specific speed of 20 m/s. Each MAP will be delivered to the skin and left in situ for 2 minutes. It will then be removed by a gloved finger by gently tensioning the skin around the patch with one hand, whilst pulling the MAP directly up an"
ACTRN12618000260224,https://anzctr.org.au/ACTRN12618000260224.aspx,Prospective Study to evaluate the safety and measure efficacy of anti-Chlamydophila antibiotic combination (ACAC) therapy in the treatment of patients with Coronary Heart Disease (CHD),Coronary Heart Disease;Chlamydophila pneumoniae infection; <br>Coronary Heart Disease <br>Chlamydophila pneumoniae infection;Cardiovascular - Coronary heart disease;Infection - Other infectious diseases,im,2018-04-12T00:00:00Z,Yes,Yes,Yes,Yes,ANZCTR,Phase 2,No,No,No,No,No,Yes,Yes,Treatment,Non industry,60,No,Yes,No,NA,NA,NA,NA,NA,Purpose: Treatment; Allocation: Randomised controlled trial; Masking: Blinded (masking used);Assignment: Parallel;Type of endpoint: Safety/efficacy;,FALSE,FALSE,2018-02-19T00:00:00Z,Phase 2,Anti-chlamydophila antibiotic combination therapy in the treatment of patients with Coronary Heart Disease,Australia,Centre for Digestive Diseases,"Anti-Chlamydaphila antibiotic combination: Doxycycline, Azithromycin & Rifabutin<br>Dose: 50mg  Doxycycline, 250mg Azithromycin & 150mg Rifabutin (3 separate capsules) daily (days 1 to 7), 50mg  Doxycycline, 250mg Azithromycin & 150mg Rifabutin (3 separate capsules) twice daily (days 8 to 90).<br>Duration: 90 days<br>Mode: oral capsules"
ACTRN12618000365268,https://anzctr.org.au/ACTRN12618000365268.aspx,"A multicenter, double-blind, placebo-controlled study to investigate the effects of oral everolimus alone or in combination with BEZ235 on the immune response to influenza vaccination in the elderly at increased risk of influenza illness.",Respiratory Tract Infections;Influenza; <br>Respiratory Tract Infections <br>Influenza;Respiratory - Other respiratory disorders / diseases;Infection - Other infectious diseases,im,2018-05-11T00:00:00Z,Yes,Yes,Yes,Yes,ANZCTR,Phase 2,No,No,No,No,No,Yes,Yes,Prevention,Industry,300,Yes,Yes,No,NA,NA,NA,NA,NA,Purpose: Prevention; Allocation: Randomised controlled trial; Masking: Blinded (masking used);Assignment: Parallel;Type of endpoint: Safety/efficacy;,FALSE,FALSE,2018-03-09T00:00:00Z,Phase 2,A clinical research study to find out if the oral medication everolimus alone or combination with BEZ235 is safe and enhances the immune response to influenza vaccination in people 65 years of age or older when dosing begins 2 weeks before or at the same time as an influenza vaccination.,New Zealand,resTORbio Inc.,"Everolimus (oral tablets) alone or together with  BEZ235 (oral capsules) and corresponding placebo oral tablets and oral capsules will be dosed on a once daily basis. Subjects will be randomized to receive placebo,  or 0.1 mg everolimus alone or in a combination of 0.1 mg everolimus and 10 mg BEZ235 once daily for either 4 weeks (Group A) or 6 weeks (Group B). <br><br>Group A (receive influenza vaccination at baseline and start dosing after vaccination at  baseline visit for a period of 4 weeks. Total treatment period is 4 weeks)<br>I.Everolimus 0.1 mg or matched placebo<br>II.Everolimus 0.1 mg plus 10 mg  BEZ235 (combination) or matched placebo<br><br>Group B (receive study drug for 2 weeks starting at the baseline visit and then receive influenza vaccination at week 2 and then continue dosing for an additional 4 weeks. Total treatment period is 6 weeks). <br>III.Everolimus 0.1 mg or matched placebo<br>IV.Everolimus 0.1 mg plus 10 mg BEZ235 (combination) or matched placebo<br><br>Subjects will then be followed for 1 week off study drug.<br><br>Compliance will be assessed by the investigator and/or study personnel at each visit by having subjects bring remaining study drug to each visit and having the site staff count the remaining number of capsules and/or tablets and having this information recorded in the eCRF.<br>"
