study_arm,TrialID,url,Interventions,vaccine,conventional,traditional
im,ACTRN12616000046404,https://anzctr.org.au/ACTRN12616000046404.aspx,"All participants will have received 24-72 hours of intravenous site specific antibiotics,  followed by 3 days of oral amoxicillin-clavunate acid, prescribed by site hospitals. Participants will then receive active or placebo treatment for an additional 8 days as below.<br><br>Active arm: 8 days of oral amoxcillin-clavulanate 400/57 duo formulation (70-90mg/kg/day, twice daily dosing; max 980mg per day)<br><br>Placebo arm: 8 days of oral placebo (equivalent volume as the active arm)<br><br>Treatment dose (range) is determined by local site hospital treatment protocols. Parents will keep a medication diary and/or receive phone calls to monitor adherence to intervention medication. Where possible, we will also collect empty medication bottles at the 4 week clinical review.<br>",NA,Yes,NA
im,ACTRN12616001475437,https://anzctr.org.au/ACTRN12616001475437.aspx,"New formulation of zanamivir, AWP-09VDB-S, to be administered in a gastric resistant capsule.<br>Participants will receive two doses in total.  Each dose is 2 x capsules of 150mg (300mg total) in feed and fasted state.  4-13 days washout between period 1 and 2<br>Compliance check of the mouth and hand at administration.<br><br>FED Cohort: Participants in the fed period will be dosed following a high–fat, high-calorie breakfast. These participants will be required to fast overnight for at least 10 hours until 30 minutes prior to their scheduled dosing times, when they will be given a standard high-fat, high calorie breakfast which will be entirely consumed within 30 minutes. The breakfast will consist of two eggs fried in butter, two strips of bacon, two slices of toast with butter, four ounces of hash brown potatoes (1 serving or approximately 114 gm) and 240 mL of whole milk. Participants will fast for at least 4 hours following dosing.  IP will be administered with 240 mil of water.  No food is allowed for at least 4 hours post-dose. Water can be consumed as desired except for one hour after drug administration.<br>FASTED Cohort Participants : Following an overnight fast of at least 10 hours, participants will be administered IP with 240 mL of water. No food is allowed for at least 4 hours post-dose. Water can be consumed as desired except for one hour before and after drug administration.",NA,Yes,NA
im,ACTRN12617000322336,https://anzctr.org.au/ACTRN12617000322336.aspx,"Infants randomised to the intervention will receive budesonide 0.25 mg/kg (0.5 mL/kg). Exogenous surfactant (Curosurf [trademark], Chiesi Farmaceutici, Parma, Italy) will be used as a carrying vehicle for the budesonide. The dose of surfactant will be 200 mg/kg for the initial dose, and 100 mg/kg for subsequent doses (if required). Each enrolled infant will receive at least one, and no more than two, interventions. The intervention will be administered intra-tracheally via an endotracheal tube or catheter, by a medical officer or appropriately credentialed neonatal nurse.",NA,NA,NA
im,ACTRN12617000626369,https://anzctr.org.au/ACTRN12617000626369.aspx,"Each ICU patient will receive a single bolus dose of 13C-labeled lactate (2.7mg/kg body weight). Existing arterial and venous lines will be used. Blood samples will be drawn at t=0 and then every two minutes during the first hour and every fifth minute for the second hour (t=2,4,6...56,58,60,65,70...110,115,120)",NA,NA,NA
im,ACTRN12617001365358,https://anzctr.org.au/ACTRN12617001365358.aspx,Withholding angiotensin converting enzyme II inhibitors (ACEi) and angiotensin receptor blockers (ARBs) medication at least twenty-four hours prior to noncardiac surgery. The commencement of ACEi and ARB after surgery will be independent of the clinical trial and at the discretion of the treating clinician.,NA,NA,NA
im,ACTRN12617001392358,http://www.anzctr.org.au/ACTRN12617001392358.aspx,1.5 g intravenous Sodium Ascorbate every 6 hours for 5 days.  A review of medication charts by study investigators and sampling of Vitamin C levels levels in 5 randomly selected patients in each arm on day 3 of the study will occur to verify group separation and adherence to protocol.,NA,NA,Yes
im,ACTRN12618000112268,https://anzctr.org.au/ACTRN12618000112268.aspx,"The study is in 2 parts,with 4 parallel treatment groups in Part A and 9 parallel treatment groups in Part B. In both study parts the interventional exposure group being studied is the Micro array projections (MAPs) coated with A/Singapore/GP1908/2015 antigen (A/Sing) in various doses. The comparator products are listed in the section below.   <br><br>The A/Sing MAP comes in 2 doses; 5mcg Haemagglutinin protein (HA) or 2.5 mcg HA. They are single use. For each subject, a MAP is applied for 2 mins then removed then the next patch is applied for 2 mins then removed etc.<br>The MAP is applied by a trained medical professional.  <br><br>Study Part A: <br>Group 1 subjects will receive 3 x 5mcg A/Sing coated MAPs to the forearm,  total dose 15mcg HA.<br>Groups 2, 3 and 4 will receive comparator products (described in section below)<br><br>Study Part B: <br>Group 1 subjects receive 3 x 5mcg A/Sing coated MAPs to the forearm, total dose 15mcg HA<br>Group 2 subjects receive 3 x 5mcg A/Sing coated MAPs to the forearm, total dose 15mcg HA and they will undergo additional testing of punch biopsy of application site.  <br>Group 3 subjects receive 2 x 5mcg A/Sing coated MAPs to the forearm plus 1 uncoated (placebo MAP, total dose 10mcg HA<br>Group 4 subjects  receive 1 x 5mcg A/Sing coated MAP to the forearm plus 2 uncoated (placebo MAPs, total dose 5mcg HA<br>Group 5 subjects receive 1 x 2.5mcg A/Sing coated MAP (2.5mcg HA) plus 2 uncoated (placebo) MAPs to the forearm, total dose 2.5 mcg HA<br>Group 8 subjects receive 3 x 5mcg A/Sing coated MAPs to the deltoid muscle, total dose 15 mcg HA<br><br>The MAP delivery device is a hand-held mechanical, spring loaded, disposable applicator (Vaxxas Clinical Applicator, disposable, CAP) calibrated at a specific speed of 20 m/s. Each MAP will be delivered to the skin and left in situ for 2 minutes. It will then be removed by a gloved finger by gently tensioning the skin around the patch with one hand, whilst pulling the MAP directly up an",NA,NA,NA
im,ACTRN12618000260224,https://anzctr.org.au/ACTRN12618000260224.aspx,"Anti-Chlamydaphila antibiotic combination: Doxycycline, Azithromycin & Rifabutin<br>Dose: 50mg  Doxycycline, 250mg Azithromycin & 150mg Rifabutin (3 separate capsules) daily (days 1 to 7), 50mg  Doxycycline, 250mg Azithromycin & 150mg Rifabutin (3 separate capsules) twice daily (days 8 to 90).<br>Duration: 90 days<br>Mode: oral capsules",NA,Yes,NA
im,ACTRN12618000365268,https://anzctr.org.au/ACTRN12618000365268.aspx,"Everolimus (oral tablets) alone or together with  BEZ235 (oral capsules) and corresponding placebo oral tablets and oral capsules will be dosed on a once daily basis. Subjects will be randomized to receive placebo,  or 0.1 mg everolimus alone or in a combination of 0.1 mg everolimus and 10 mg BEZ235 once daily for either 4 weeks (Group A) or 6 weeks (Group B). <br><br>Group A (receive influenza vaccination at baseline and start dosing after vaccination at  baseline visit for a period of 4 weeks. Total treatment period is 4 weeks)<br>I.Everolimus 0.1 mg or matched placebo<br>II.Everolimus 0.1 mg plus 10 mg  BEZ235 (combination) or matched placebo<br><br>Group B (receive study drug for 2 weeks starting at the baseline visit and then receive influenza vaccination at week 2 and then continue dosing for an additional 4 weeks. Total treatment period is 6 weeks). <br>III.Everolimus 0.1 mg or matched placebo<br>IV.Everolimus 0.1 mg plus 10 mg BEZ235 (combination) or matched placebo<br><br>Subjects will then be followed for 1 week off study drug.<br><br>Compliance will be assessed by the investigator and/or study personnel at each visit by having subjects bring remaining study drug to each visit and having the site staff count the remaining number of capsules and/or tablets and having this information recorded in the eCRF.<br>",NA,NA,NA
im,ACTRN12618001675213,https://anzctr.org.au/ACTRN12618001675213.aspx,"Enteral ivabradine 5mg twice daily in addition to standard care.<br>Study treatment will be given for a total of 120 hours (5 days) or until the patient is discharged from ICU (whichever occurs first). In the event of bradycardia with a HR of <50 or in the presence of symptomatic bradycardia or in the event of AF or any visual disturbance, Ivabra-dine will be discontinued. These data will be included in the final manuscript of the study.",NA,NA,NA
