study_arm,TrialID,url,Scientific_title,primary_purpose,multicentre,Study_design,control_arm,randomisation,blinding,prospective,Source_registry,phase_clean,region_Africa,region_N_America,region_L_America,region_Asia,region_Europe,region_Oceania,Date_enrollment_format,sample_size,Conditions,Bridging_flag,Day_inferred,Date_registration_format,Phase,Public_title,Countries,Primary_sponsor
im,ACTRN12616001475437,https://anzctr.org.au/ACTRN12616001475437.aspx,"An Healthy Volunteer, Open-Label, Cross-Over Phase I Study to Determine the Safety, Tolerability and Pharmacokinetics of a Single Oral Dose of AWP-09VDB-S under Fed and Fasted Conditions",Treatment,NA,Purpose: Treatment; Allocation: Randomised controlled trial; Masking: Open (masking not used);Assignment: Crossover;Type of endpoint: Safety;,Yes,Yes,No,No,ANZCTR,Phase 1,No,No,No,No,No,Yes,2016-10-18,14,the treatment and prophylaxis of influenza; <br>the treatment and prophylaxis of influenza;Infection - Other infectious diseases,FALSE,FALSE,2016-10-24,Phase 1,Ala Wai Phase 1 safety and tolerability study with 14 healthy participants,Australia,Clinical Network Services Pty Ltd
im,ACTRN12617000626369,https://anzctr.org.au/ACTRN12617000626369.aspx,Description of lactate kinetics in ICU patients using a bolus injection of 13C-labeled lactate - an experimental open-label non-randomized clinical trial,Other,NA,Purpose: Diagnosis; Allocation: Non-randomised trial; Masking: Open (masking not used);Assignment: Single group;Type of endpoint: Pharmacokinetics;,No,Not applicable,No,Yes,ANZCTR,Undefined,No,No,No,No,Yes,No,2017-05-22,20,Mixed Intensive Care Unit patients with single or multiple organ failure; <br>Mixed Intensive Care Unit patients with single or multiple organ failure;Metabolic and Endocrine - Other metabolic disorders,FALSE,FALSE,2017-05-01,Not Applicable,Production and utilization of lactate in an intensive care patient population,Sweden,Karolinska University Hospital
im,ACTRN12617001365358,https://anzctr.org.au/ACTRN12617001365358.aspx,"A randomized clinical trial comparing preoperative continuation versus cessation of angiotensin converting enzyme inhibitors and angiotensin receptor blockers in patients undergoing elective, noncardiac surgery at a major tertiary hospital.",Treatment,NA,Purpose: Treatment; Allocation: Randomised controlled trial; Masking: Blinded (masking used);Assignment: Parallel;Type of endpoint: Safety/efficacy;,Yes,Yes,Yes,Yes,ANZCTR,Undefined,No,No,No,No,No,Yes,2017-12-05,666,noncardiac surgery;perioperative cardiovascular events;cardiovascular mortality;cardiac arrest;decompensated cardiac failure;myocardial infarction;myocardial injury after noncardiac surgery;acute kidney injury;cerebrovascular event; <br>noncardiac surgery <br>perioperative cardiovascular events <br>cardiovascular mortality <br>cardiac arrest<br> <br>decompensated cardiac failure<br> <br>myocardial infarction <br>myocardial injury after noncardiac surgery <br>acute kidney injury <br>cerebrovascular event;Anaesthesiology - Other anaesthesiology;Cardiovascular - Other cardiovascular diseases;Surgery - Other surgery,FALSE,FALSE,2017-09-27,Not Applicable,"A randomized clinical trial comparing preoperative continuation versus cessation of angiotensin converting enzyme inhibitors and angiotensin receptor blockers in patients undergoing elective, noncardiac surgery at a major tertiary hospital.",Australia,Metro South Health - Princess Alexandra Hospital
im,ACTRN12617001392358,http://www.anzctr.org.au/ACTRN12617001392358.aspx,A double-blinded pilot randomized control trial comparing the effect of intravenous vitamin C versus placebo on vasopressor requirements in a cohort of vasopressor dependent patients suffering from a systemic inflammatory response syndrome.,NA,NA,NULL,Yes,Yes,Yes,Yes,ANZCTR,Phase 2,No,No,No,No,No,Yes,2018-07-27,70,Distributive shock;Systemic inflammatory response syndrome;Septic Shock,FALSE,FALSE,2017-09-29,Phase 2,Vasopressor dependent shock: Intravenous vitamin C versus placebo on vasopressor use. The VALENCIA study,Australia,Sir Charles Gairdner Hospital
im,ACTRN12618000112268,https://anzctr.org.au/ACTRN12618000112268.aspx,First-in-human study to investigate the skin tolerability of micro-projection array patches coated with inactivated split influenza virus haemagglutinin (HA) from A/Singapore/GP1908/2015 (A/Michigan/45/2015(H1N1)-like) vaccine in healthy volunteers,Prevention,NA,Purpose: Prevention; Allocation: Randomised controlled trial; Masking: Blinded (masking used);Assignment: Parallel;,Yes,Yes,Yes,Yes,ANZCTR,Phase 1,No,No,No,No,No,Yes,2018-03-09,210,prevention of influenza infection; <br>prevention of influenza infection;Infection - Other infectious diseases;Public Health - Other public health,FALSE,FALSE,2018-01-25,Phase 1,"Two-part, randomised, double-blind, placebo-controlled study in healthy participants to investigate the skin tolerability of micro-projection array patches coated with inactivated split influenza virus haemagglutinin (HA) from A/Singapore/GP1908/2015 (A/Michigan/45/2015(H1N1)-like) vaccine.",Australia,Vaxxas Pty Ltd
im,ACTRN12618000260224,https://anzctr.org.au/ACTRN12618000260224.aspx,Prospective Study to evaluate the safety and measure efficacy of anti-Chlamydophila antibiotic combination (ACAC) therapy in the treatment of patients with Coronary Heart Disease (CHD),Treatment,NA,Purpose: Treatment; Allocation: Randomised controlled trial; Masking: Blinded (masking used);Assignment: Parallel;Type of endpoint: Safety/efficacy;,Yes,Yes,Yes,Yes,ANZCTR,Phase 2,No,No,No,No,No,Yes,2018-04-12,60,Coronary Heart Disease;Chlamydophila pneumoniae infection; <br>Coronary Heart Disease <br>Chlamydophila pneumoniae infection;Cardiovascular - Coronary heart disease;Infection - Other infectious diseases,FALSE,FALSE,2018-02-19,Phase 2,Anti-chlamydophila antibiotic combination therapy in the treatment of patients with Coronary Heart Disease,Australia,Centre for Digestive Diseases
im,ACTRN12618001675213,https://anzctr.org.au/ACTRN12618001675213.aspx,"A Pilot, Randomised Controlled Study to evaluate whether the administration of enteral Ivabradine plus standard care reduces tachycardia in critically ill adult patients with septic shock compared to standard care alone.",Treatment,NA,Purpose: Treatment; Allocation: Randomised controlled trial; Masking: Open (masking not used);Assignment: Parallel;Type of endpoint: Safety/efficacy;,Yes,Yes,No,Yes,ANZCTR,Phase 3,No,No,No,No,No,Yes,2018-11-30,20,Tachycardia;Critical illness;Septic shock; <br>Tachycardia <br>Critical illness <br>Septic shock;Cardiovascular - Other cardiovascular diseases;Infection - Other infectious diseases,FALSE,FALSE,2018-10-11,Phase 3,"A Pilot, Randomised Controlled Study of Ivabradine for Heart Rate Reduction in Critically Ill Patients with Septic Shock",Australia,Perioperative and Critical Care Research Monash Medical Centre
im,ACTRN12618002028280,https://anzctr.org.au/ACTRN12618002028280.aspx,The C*STEROID Feasibility Study: Corticosteroids before planned caesarean section from 35+0 to 39+6 weeks,Prevention,NA,Purpose: Prevention; Allocation: Randomised controlled trial; Masking: Blinded (masking used);Assignment: Parallel;Type of endpoint: Safety/efficacy;,Yes,Yes,Yes,Yes,ANZCTR,Phase 3,No,No,No,No,No,Yes,2019-06-21,400,Caesarean section delivery;Respiratory distress syndrome;Transient tachypnoea of the newborn ;Neonatal hypoglycaemia; <br>Caesarean section delivery <br>Respiratory distress syndrome <br>Transient tachypnoea of the newborn  <br>Neonatal hypoglycaemia;Respiratory - Other respiratory disorders / diseases;Reproductive Health and Childbirth - Complications of newborn,FALSE,FALSE,2018-12-18,Phase 3,"The C*STEROID Feasibility Study: a two-site, randomised placebo controlled trial of corticosteroids before planned caesarean section delivery at 35+0 to 39+6 weeks of pregnancy to determine feasibility for recruitment to the C*STEROID Trial.",New Zealand,University of Auckland
im,ACTRN12618002041235,https://anzctr.org.au/ACTRN12618002041235.aspx,"A Randomized Double-Blind, Placebo Controlled, Phase I Study of the Safety, Tolerability, and Immunogenicity of a Live Attenuated H1N1 Vaccine in Healthy Individuals",Prevention,NA,Purpose: Prevention; Allocation: Randomised controlled trial; Masking: Blinded (masking used);Assignment: Parallel;Type of endpoint: Safety/efficacy;,Yes,Yes,Yes,Yes,ANZCTR,Phase 1,No,No,No,No,No,Yes,2019-04-24,33,Influenza; <br>Influenza;Infection - Studies of infection and infectious agents,FALSE,FALSE,2018-12-20,Phase 1,"Follow-up study to determine the safety, maximum tolerable dose and ability to provoke an immune response of the Codavax intranasal Influenza Vaccine in healthy adult volunteers..",Australia,Clincial Network Services (CNS) Pty Ltd
im,ACTRN12619000118101,https://anzctr.org.au/ACTRN12619000118101.aspx,A Clinical Study of Pre and Post Vaccination Serology in Children Receiving the Seasonal Southern Hemisphere Formulation of Inactivated Influenza Vaccine,Prevention,NA,Purpose: Prevention; Allocation: Non-randomised trial; Masking: Open (masking not used);Assignment: Single group;Type of endpoint: Efficacy;,No,Not applicable,No,Yes,ANZCTR,Undefined,No,No,No,No,No,Yes,2019-05-01,40,Influenza; <br>Influenza;Infection - Other infectious diseases,FALSE,FALSE,2019-01-25,Not Applicable,A Clinical Study of Pre and Post Vaccination Serology in Children Receiving the Seasonal Southern Hemisphere Formulation of Inactivated Influenza Vaccine,Australia,Women's and Children's Health Network
