study_arm,TrialID,url,Scientific_title,primary_purpose,multicentre,Study_design,control_arm,randomisation,blinding,prospective,Source_registry,phase_clean,region_Africa,region_N_America,region_L_America,region_Asia,region_Europe,region_Oceania,Date_enrollment_format,sample_size,Conditions,Bridging_flag,Day_inferred,Date_registration_format,Phase,Public_title,Countries,Primary_sponsor
im,ACTRN12617001086358,http://www.anzctr.org.au/ACTRN12617001086358.aspx,A prospective pilot study investigating the impact of obesity on seroprotection after influenza vaccination in children aged 11-17 years.,NA,NA,NULL,NA,NA,NA,Yes,ANZCTR,Phase 4,No,No,No,No,No,Yes,2018-04-02,50,Obesity in children and adolescents;Response to influenza vaccination,FALSE,FALSE,2017-07-26,Phase 4,A study on the influence of obesity on the protection after influenza vaccination in children aged 11-17 years.,Australia,Women's and Children's Hospital
im,ACTRN12618001090202,https://anzctr.org.au/ACTRN12618001090202.aspx,Coadministration of Malignancy and Infection specific T cells after allogeneic stem cell Transplant for Acute Leukaemia with CD34+ selected stem cells,Treatment,NA,Purpose: Treatment; Allocation: Non-randomised trial; Masking: Open (masking not used);Assignment: Single group;Type of endpoint: Safety/efficacy;,No,Not applicable,No,Yes,ANZCTR,Phase 1,No,No,No,No,No,Yes,2018-10-12,20,Acute Leukaemia;Cytomegalovirus;Epstein-Barr Virus;Varicella Zoster Virus;BK Virus;Influenza virus;Aspergillus; <br>Acute Leukaemia <br>Cytomegalovirus <br>Epstein-Barr Virus <br>Varicella Zoster Virus <br>BK Virus <br>Influenza virus <br>Aspergillus;Cancer - Leukaemia - Acute leukaemia;Infection - Studies of infection and infectious agents,FALSE,FALSE,2018-06-29,Phase 1,Coadministration of Malignancy and Infection specific T cells after allogeneic stem cell Transplant for Acute Leukaemia with CD34+ selected stem cells,Australia,"Western Sydney Local Health District, Westmead Hospital"
main,ACTRN12619000423112,https://anzctr.org.au/ACTRN12619000423112.aspx,STimulating ß3 Adrenergic Receptors to improve change in exercise performance on a graded treadmill  in patients with Peripheral Arterial Disease.,Treatment,NA,Purpose: Treatment; Allocation: Randomised controlled trial;,Yes,Yes,NA,Yes,ANZCTR,Phase 2,No,No,No,No,No,Yes,2019-03-14,100,Peripheral Arterial Disease; <br>Peripheral Arterial Disease;Cardiovascular - Diseases of the vasculature and circulation including the lymphatic system,FALSE,FALSE,2019-03-14,Phase 2,The STAR-PAD trial is testing a new treatment for Peripheral Arterial Disease (PAD).,Australia,North Sydney Local Health District
main,ACTRN12619000720112,https://anzctr.org.au/ACTRN12619000720112.aspx,Exploring the role of androgen receptor blockade in increasing the expression of prostate specific membrane antigen (PSMA) and enhancing 68Ga-PSMA-11-PET/CT imaging in patients with metastatic prostate cancer,Other,NA,Purpose: Diagnosis; Allocation: Non-randomised trial; Masking: Open (masking not used);Assignment: Single group;Type of endpoint: Efficacy;,No,Not applicable,No,Yes,ANZCTR,Undefined,No,No,No,No,No,Yes,2019-06-03,40,Prostate Cancer; <br>Prostate Cancer;Cancer - Prostate,FALSE,FALSE,2019-05-13,Not Applicable,Exploring the role of androgen receptor blockade in increasing the expression of prostate specific membrane antigen (PSMA) and enhancing 68Ga-PSMA-11-PET/CT imaging in patients with metastatic prostate cancer,Australia,GenesisCare
im,ACTRN12619000828123,https://anzctr.org.au/ACTRN12619000828123.aspx,Resuscitation in Paediatric Sepsis Using Early Inotropes– – A Randomized Controlled Trial to Assess Impact on Survival Free of Organ Dysfunction,Treatment,NA,Purpose: Treatment; Allocation: Randomised controlled trial; Masking: Open (masking not used);Assignment: Parallel;Type of endpoint: Safety/efficacy;,Yes,Yes,No,Yes,ANZCTR,Phase 2,No,No,No,No,No,Yes,2019-07-21,80,Sepsis;Septic Shock; <br>Sepsis <br>Septic Shock;Infection - Studies of infection and infectious agents;Emergency medicine - Resuscitation,FALSE,FALSE,2019-06-07,Phase 2,Resuscitation in Paediatric Sepsis Using Early Inotropes (RESPOND-ED),Australia,University of Queensland
covid,ACTRN12620000731998,https://anzctr.org.au/ACTRN12620000731998.aspx,Safety and efficacy of a pharmacological strategy using Losartan in hospital patients with COVID-19,Treatment,NA,Purpose: Treatment; Allocation: Randomised controlled trial; Masking: Open (masking not used);Assignment: Parallel;Type of endpoint: Safety/efficacy;,Yes,Yes,No,Yes,ANZCTR,Phase 1,No,No,No,No,No,Yes,2020-09-01,36,COVID-19; <br>COVID-19;Respiratory - Other respiratory disorders / diseases;Inflammatory and Immune System - Other inflammatory or immune system disorders;Infection - Other infectious diseases,FALSE,FALSE,2020-07-13,Phase 1,Will treating the overwhelming patient response with medications affect COVID-19 mortality?,Australia,NSW Health via the Hunter New England Local Health District
im,ChiCTR-IIR-16008507,http://www.chictr.org.cn/showproj.aspx?proj=14377,"A Randomized, Blind, active-controlled trials to evaluate the safety and immunogenicity of Quadrivalent influenza vaccine (Split Virion) for Human use in the healthy subjects among 6-months to 3 years old",NA,NA,Randomized parallel controlled trial,Yes,Yes,Yes,Yes,ChiCTR,Phase 3,No,No,No,Yes,No,No,2016-05-20,2070,Influenza,FALSE,FALSE,2016-05-20,III (Phase III study),"A Randomized, Blind, active-controlled trials to evaluate the safety and immunogenicity of Quadrivalent influenza vaccine (Split Virion) for Human use in the healthy subjects among 6-months to 3 years old",China,Hubei provincial center for disease control and prevention
im,ChiCTR-IPQ-16008781,http://www.chictr.org.cn/showproj.aspx?proj=14665,Effects of glucocorticoid on Changes of pulmonary function and serum cortisol during rheumatic valve replacemental perioperation,NA,NA,Quasi-randomized controlled,Yes,No,NA,Yes,ChiCTR,Phase 4,No,No,No,Yes,No,No,2016-10-01,180,Rheumatic heart valve disease; cardiac insufficiency; respiratory insufficiency,FALSE,FALSE,2016-07-04,Post-market,Effects of glucocorticoid on changes of pulmonary function and serum cortisol during rheumatic valve replacemental perioperation,China,Department of Cardiothoracic Surgery of the First Affiliated Hospital of Chongqing Medical University
im,ChiCTR1800014694,http://www.chictr.org.cn/showproj.aspx?proj=25120,Clinical observation on efficacy of ulinastatin and antibiotic treatment for severe pneumonia in ICU,Treatment,NA,Randomized parallel controlled trial,Yes,Yes,NA,No,ChiCTR,Undefined,No,No,No,Yes,No,No,2015-10-01,60,severe pneumonia,FALSE,FALSE,2018-01-30,Other,Clinical observation on efficacy of ulinastatin and antibiotic treatment for severe pneumonia in ICU,China,Wuxi Huishan District People's Hospital
main,ChiCTR1900022258,http://www.chictr.org.cn/showproj.aspx?proj=36344,Effects of coenzyme Q10 on endothelial and cardiac function in patients undergoing hemodialysis: a pilot randomized controlled trial,NA,NA,Parallel,Yes,Yes,NA,Yes,ChiCTR,Phase 1,No,No,No,Yes,No,No,2019-04-22,60,end-stage renal disease,FALSE,FALSE,2019-04-02,0,Effects of coenzyme Q10 on cardiovascular function in patients undergoing hemodialysis: a pilot randomized controlled trial,China,the 306th Hospital of Chinese PLA
