study_arm,TrialID,url,Interventions,vaccine,conventional,traditional
im,ACTRN12617001086358,http://www.anzctr.org.au/ACTRN12617001086358.aspx,"This is a pilot case control study to study the effect, if any, of obesity, on the immune response to the annual licensed quadrivalent influenza vaccination in Australian children aged 11-17 years.<br>Cases -  25 obese children (BMI >=95th percentile for age and gender) aged 11-17 years.<br>Controls - 25 non-obese children (BMI 5th - <95th percentile for age and gender) aged 11-17 years.<br>The dose of the influenza vaccine is 0.5 ml administered as a single dose IM injection. All vaccines will be administered by a qualified and experienced practitioners (medical officer or registered nurse) within the unit, according to current vaccination guidelines. <br>All participants will have bloods samples collected by the recruiting medical officer before vaccination and at the follow-up visits at 1 and 6 months after vaccination.",Yes,NA,NA
im,ACTRN12618001090202,https://anzctr.org.au/ACTRN12618001090202.aspx,"The study treatment will consist of an infusion of CD34 selected donor stem cells on day 0 of the fully-matched related allogeneic bone marrow transplant. A minimum of 21 days following the transplant, one intravenous infusion of 2 x 107/m2 of pathogen specific T cells will be given over 1 minute to all patients following myeloid engraftment. In addition, up to a total of four intravenous infusions of 2x107/m2 either WT1 specific T cells for patients with AML or CAR19 T cells for patients with ALL will be given to the patient no less than 28 days apart unless contraindicated. Such contraindications are fever, hypotension, tachycardia, hypoxemia, graft versus host disease greater than or equal to grade II in the week prior to infusion, abnormal liver function >3x upper limit normal. The pathogen specific and malignancy specific cells can be given and monitored as an outpatient (eg: the Cancer Day Suite) by study investigators or other staff as delegated by the investigator's (eg: BMT Fellow, Clinical Nurse Specialists, Nurse Practitioners). The patients will be followed up at 3 months post transplant and 6 months post transplant.  ALL patients will be followed up at additional time points of 12months and yearly for 15 years for the detection of long term adverse event outcomes.  The bone marrow transplant will occur and delivered as an inpatient as per standard of care.",NA,Yes,NA
main,ACTRN12619000423112,https://anzctr.org.au/ACTRN12619000423112.aspx,"(1) Initial therapy with Mirabegron (50 mg/day) for 12 weeks.<br>-Mirabegron (produced by Astellas Pharmaceuticals) is a film-coated prolonged release oral tablet and it will be administered at a dose of 50 mg/day. <br>OR<br>(2) Placebo <br><br>Strategies used to monitor adherence to the intervention:<br>-At 4 weeks and 12 weeks participants will be self-reporting medication adherence (patient diary). <br>-Participants will be instructed to return unused capsules at 12 weeks and returned capsules will be counted by the study team and returned to Pharmacy department at RNSH<br>-Blood tests through the whole study (Screening, baseline, Week 4, Week 12).<br><br>",NA,NA,NA
main,ACTRN12619000720112,https://anzctr.org.au/ACTRN12619000720112.aspx,68Ga-PSMA-PET/CT scan will be administered in a registered nuclear medicine department by a nuclear med physician. This scan is considered standard of care for patients and this trial requires 1 additional scan under the same conditions as a standard PSMA scan. All participants are will be undergoing enzalutamide as standard of care. PSMA scans takes approx. 2-3 hours to complete.  The second scan will be 7 weeks from the baseline scan. The Enzalitamide dosing is based on clinician choice (medical oncologist) Enzalutimdie will commence at Week 5 (4 weeks post the 1st PSMA Scan) will continue throughout study as prescribed by treating Med Onc.,NA,NA,NA
im,ACTRN12619000828123,https://anzctr.org.au/ACTRN12619000828123.aspx,"Intervention: Early Inotropes: <br>Early Inotropes: Goal-Directed Therapy with initiation of intravenous inotropes after the initial fluid bolus (20ml/kg, minimal amount 10-20ml/kg fluid bolus;  (or 500-1000ml fluid bolus in patients >50kg). The inotrope used is diluted adrenaline initiated at 0.05 to 0.1 (up to 0.3) mcg/kg/min. Dilution is used to fasten drug delivery and response to drug rate changes, to reduce risks with extravasation, and to facilitate peripheral application. Adrenaline will be prepared in 50ml syringes in 5% Dextrose solution that will be connected to peripheral, intraosseus, or central vascular access device. Drug delivery will occur through guardrails or similar system to ensure safe delivery of applied standardized drug concentrations. <br><br>The study treatment will be given as continuous infusion for the duration of resuscitation until resolution of shock, discharge from intensive care unit, death, decision of the treating physician to stop or replace with other inotrope, or occurrence of major side effects, whichever occurs first. <br>Compliance with protocol will be assessed through the prospective institutional drug charts, and the prospective study case report form<br>",NA,NA,NA
covid,ACTRN12620000731998,https://anzctr.org.au/ACTRN12620000731998.aspx,"This is a multisite, 3 stage inpatient study of the Angiotensin II Receptor Blocker Losartan for treatment of COVID-19. The three stages will be recruited sequentially. <br><br>In the first stage, 9 participants will be allocated to the active treatment. The first intervention studied will be Losartan 25mg tablet once daily, for 7 days, or their entire admission (whichever is longer).<br><br>Following complete recruitment to the first stage, participants will be allocated to the second stage of the study. In the second stage, 9 participants will start at 25mg Losartan. If hemodynamically stable after 24 hours, they will increase dose to 25mg twice daily for 7 days, or their entire admission (whichever is longer).<br>If not (clinical decision) the participant will stay on 25mg daily for 7 days, or the remainder of for their admission (whichever is longer).<br><br>Following complete recruitment to the first and second stages, participants will be allocated to the third stage of the study. In the third stage, 9 participants will start on 25 mg Losartan daily. If hemodynamically stable after 24 hours, they will increase dose to 25mg twice daily. Then, if hemodynamically stable after further 24 hours, they will increase dose again to 25mg morning and 50mg night. After a further 24 hours, and if the participant is hemodynamically stable, they will increase dose to 50mg twice daily for 7 days, or the remainder of for their admission (whichever is longer).<br><br>For all stages, the dose will be held if the blood pressure systolic reading is less than 100mmHg, and/or a renal function decrease of greater than 30% from baseline is observed, or serum potassium greater than permitted by the institutional upper limit of normal (ULN) occurs. <br><br>Losartan will be restarted at the",NA,NA,NA
im,ChiCTR-IIR-16008507,http://www.chictr.org.cn/showproj.aspx?proj=14377,trial group:2 dose  of trial vaccine (trivalent) for 21 days interval (+/- 7days);control group A:2 dose of vaccine A (tetravalent) for 21 days interval (+/- 7days);Control group B:2 dose of vaccine B (trivalent) for 21 days interval (+/- 7days);,Yes,NA,NA
im,ChiCTR-IPQ-16008781,http://www.chictr.org.cn/showproj.aspx?proj=14665,Group A:Dexamethasone;Group B:Placebo ;,NA,Yes,NA
im,ChiCTR1800014694,http://www.chictr.org.cn/showproj.aspx?proj=25120,"control group:conventional treatment based on the use of antimicrobial therapy;Combination group:On the basis of the treatment of the control group, the combination of ulinastatin;",NA,NA,NA
main,ChiCTR1900022258,http://www.chictr.org.cn/showproj.aspx?proj=36344,intervention group:Coenzyme Q10 400mg;placebo:placebo;,NA,NA,NA
