TrialID,url,Scientific_title,Primary_sponsor,sponsor_type
NCT03992872,https://clinicaltrials.gov/show/NCT03992872,A Phase 2 Open-label Study to Assess the Safety and Immunogenicity of an Alum-adjuvanted Chikungunya Virus-like Particle Vaccine (PXVX0317) in Prior Recipients of Other Alphavirus Vaccines Versus Alphavirus naïve Controls.,Emergent BioSolutions,NA
NCT04049669,https://clinicaltrials.gov/show/NCT04049669,Phase 2 Trial of Indoximod With Chemotherapy and Radiation for Children With Progressive Brain Tumors or Newly Diagnosed DIPG,Theodore S. Johnson,NA
NCT04078386,https://clinicaltrials.gov/show/NCT04078386,"A Phase II Study of RC18, a Recombinant Human B Lymphocyte Stimulator Receptor:Immunoglobulin G( IgG ) Fc Fusion Protein for Injection for the Treatment of Subjects With Primary Sjögren's Syndrome",RemeGen,NA
NCT03905837,https://clinicaltrials.gov/show/NCT03905837,Impact of the Administration of Intravenous or Paravertebral Lidocaine in Continuous Perfusion During the Intraoperative Period of Lung Resection Surgery on the Appearance of Postoperative Complications,Francisco Andres de la Gala,NA
NCT03973112,https://clinicaltrials.gov/show/NCT03973112,"A Single-arm, Open, Multicenter, Phase II Clinical Study Evaluating the Use of HLX10 (Recombinant Anti-pd-1 Humanized Monoclonal Antibody Injection) in Combination With HLX04 (Recombinant Anti-vegf Humanized Monoclonal Antibody Injection) for the Treatment of Advanced Hepatocellular Carcinoma (HCC) Patients With Disease Progression or Intolerant Toxicity After Standard Treatment",Shanghai Henlius Biotech,NA
NCT04145037,https://clinicaltrials.gov/show/NCT04145037,"An Adaptive, Open-Label, Multinational Phase 1/2 Study Of The Safety and Efficacy of Ex Vivo, Lentiviral Vector-Mediated Gene Therapy AVR-RD-02 for Subjects With Type 1 Gaucher Disease",AvroBio,NA
NCT04000919,https://clinicaltrials.gov/show/NCT04000919,"The Effects of 5-hydroxytryptophan (5-HTP) and L-3,4-dihydroxyphenylalanine (L-DOPA) Supplementation on Central Nervous System Excitability and Motor Function in Individuals With Spinal Cord Injury",Jessica M D'Amico,NA
NCT03957499,https://clinicaltrials.gov/show/NCT03957499,Analgesic Efficacy of Fascia Iliaca Compartment Block With Bupivacaine Versus Bupivacaine With Dexamethasone or Magnesium Sulphate for Dynamic Hip Screw Surgeries Randomized Double Blinded Comparative Study,Samaa Rashwan,NA
NCT04096417,https://clinicaltrials.gov/show/NCT04096417,"A Phase II, Multicenter, Single-Arm Study of Pemigatinib in Patients With Metastatic or Unresectable Colorectal Cancer Harboring FGFR Alterations",Academic and Community Cancer Research United,NA
NCT04118556,https://clinicaltrials.gov/show/NCT04118556,"A Multicenter, Open-label, Randomized, Phase I/II Clinical Trial Comparing Safety and Durable Overall Response Day 56 in Patients With Steroid Resistent Acute GvHD After Allogeneic Hematopoietic Stem Cell Transplant Treated With DSC or BAT",Mats Remberger,NA
NCT04082325,https://clinicaltrials.gov/show/NCT04082325,"Interventional, Randomized, Double-blind, Sequential-group, Placebo-controlled, Single-ascending-oral-dose Study Investigating the Safety, Tolerability, Pharmacokinetic, and Pharmacodynamic Properties of Lu AF88434 and Open-label Crossover Study to Investigate the Intra-individual Variability, Metabolic Profile, and Effect of Food on Lu AF88434 in Healthy Young Men",H. Lundbeck A/S,NA
NCT03851627,https://clinicaltrials.gov/show/NCT03851627,52 Week RCT to Investigate the Effect of Testosterone Undecanoate vs Placebo on Intrahepatic Fat Content in Obese Men With T2DM and Hypogonadism and Subsequent 108 Week Open Label Phase to Investigate Effects on Cardiometabolic Parameters,Alexandra Kautzky-Willer,NA
NCT04187404,https://clinicaltrials.gov/show/NCT04187404,"A Phase 1/2 Trial of a Novel Therapeutic Vaccine (EO2401) in Combination With Immune Check Point Blockade, for Treatment of Patients With Locally Advanced or Metastatic Adrenocortical Carcinoma, or Malignant Pheochromocytoma/Paraganglioma",Enterome,NA
NCT04033250,https://clinicaltrials.gov/show/NCT04033250,Personalized Colonoscopy Preparation for Patients With Risk Factors for Inadequate Preparation: A Randomized Control Trial,Rambam Health Care Campus,NA
NCT03842267,https://clinicaltrials.gov/show/NCT03842267,"A Multicenter, Randomized, Placebo-controlled, Parallel Group, Double-blind, Phase III Study to Evaluate the Efficacy and Safety of Gemigliptin 50mg in Patients With Type 2 Diabetes Who Have Inadequate glycemIc Control With Dapagliflozin and Metformin",LG Chem,NA
NCT04064879,https://clinicaltrials.gov/show/NCT04064879,The Use of Autologous Mesenchymal Stem Cell Preparation for Treatment of Refractory Migraine,Neurological Associates of West Los Angeles,NA
NCT03890289,https://clinicaltrials.gov/show/NCT03890289,"Idelalisib Plus Obinutuzumab in Patients With Relapsed/Refractory Follicular Lymphoma: a Phase 2, Single-arm, Multicentric Study",Fondazione Italiana Linfomi ONLUS,NA
NCT04044001,https://clinicaltrials.gov/show/NCT04044001,"A Prospective Phase Ib/IIa, Active-controlled, Randomized, Open-label Study to Evaluate the Safety, Tolerability, Extended Early Bactericidal Activity and Pharmacokinetics of Multiple Oral Doses of BTZ-043 Tablets in Subjects With Newly Diagnosed, Uncomplicated, Smear-positive, Drug-susceptible Pulmonary Tuberculosis",Michael Hoelscher,NA
NCT03837925,https://clinicaltrials.gov/show/NCT03837925,Pharmaco-metabolomic Effects of Statins: METASTATINE,French Cardiology Society,NA
